sous_categorie,bras,n_nova,pct_nova4
autres_carnes,halal,120,86.7
autres_carnes,temoin,6396,59.0
charcuterie_cuite,halal,247,98.8
charcuterie_cuite,temoin,6472,76.7
charcuterie_seche,halal,142,98.6
charcuterie_seche,temoin,2892,91.9
decoupes,halal,74,64.9
decoupes,temoin,2409,49.3
foie_gras,halal,1,0.0
foie_gras,temoin,82,13.4
panes,halal,119,96.6
panes,temoin,1104,88.0
plats_cuisines,halal,88,90.9
plats_cuisines,temoin,7090,80.3
rillettes_pates_mousses,halal,18,88.9
rillettes_pates_mousses,temoin,2267,49.6
saucisses,halal,142,100.0
saucisses,temoin,2388,92.6
viande_hachee,halal,59,49.2
viande_hachee,temoin,628,36.9
