produit,bras3,agneau,boeuf,canard,cheval,dinde,indetermine,porc,poulet,veau,volaille_autre
blanc_de_poulet,halal,0,0,0,0,8,0,0,54,0,0
blanc_de_poulet,kasher,0,0,0,0,7,0,0,1,0,0
blanc_de_poulet,temoin,0,0,0,0,988,0,3,3749,0,0
cordon_bleu,halal,0,0,0,0,37,25,0,15,0,5
cordon_bleu,kasher,0,0,0,0,0,0,0,1,0,0
cordon_bleu,temoin,0,0,0,0,148,151,1,175,0,59
escalope_panee,halal,0,0,0,0,12,0,0,84,0,0
escalope_panee,kasher,0,0,0,0,3,0,0,4,0,0
escalope_panee,temoin,0,0,0,0,462,0,0,325,0,0
jambon_cuit,halal,0,0,0,0,85,3,0,136,0,26
jambon_cuit,kasher,0,0,0,0,19,1,0,15,0,1
jambon_cuit,temoin,0,1,0,0,161,5634,563,687,0,34
jambon_sec,halal,0,0,0,0,0,2,0,0,0,1
jambon_sec,kasher,0,0,0,0,0,1,0,0,0,0
jambon_sec,temoin,0,2,0,1,0,2242,408,0,0,7
merguez,halal,25,5,0,0,0,0,0,0,1,0
merguez,kasher,0,1,0,0,0,0,0,0,0,0
merguez,temoin,383,52,0,0,2,0,4,1,2,0
mortadelle,halal,0,0,0,0,0,29,0,1,0,3
mortadelle,kasher,0,0,0,0,0,1,0,0,0,0
mortadelle,temoin,0,1,0,0,0,219,42,0,0,1
nugget,halal,0,0,0,0,19,0,0,64,0,2
nugget,kasher,0,0,0,0,0,0,0,2,0,0
nugget,temoin,0,1,0,0,12,2,1,392,0,6
saucisse_volaille,halal,0,1,0,0,8,0,0,49,0,71
saucisse_volaille,kasher,0,0,0,0,1,0,0,3,0,7
saucisse_volaille,temoin,0,0,16,0,15,0,4,132,0,317
saucisson_sec,halal,0,10,0,0,39,112,17,5,0,4
saucisson_sec,kasher,0,2,0,0,2,9,0,0,0,0
saucisson_sec,temoin,0,16,1,2,18,4214,906,3,1,20
steak_hache,halal,1,111,0,0,0,2,0,1,1,0
steak_hache,kasher,0,8,0,0,0,2,0,0,0,0
steak_hache,temoin,2,1072,0,1,1,135,39,9,9,0
